price_tier,model_count,min_price,median_price,max_price,mean_rating,median_rating,median_ram,median_storage,median_battery,median_watt,median_refresh,pct_5g,pct_nfc,pct_fast_charge,pct_high_refresh,catalog_share_pct
Budget (<10k),131,4040,7999.0,9999,66.0,68.0,4.0,128.0,5000.0,18.0,90.0,31.3,5.3,93.9,31.3,17.28
Lower-Mid (10k-20k),277,10079,14499.0,19999,77.0,78.0,8.0,128.0,5000.0,33.0,120.0,96.0,20.9,98.6,76.9,36.54
Mid-Range (20k-35k),201,20329,24999.0,34999,82.6,83.0,8.0,256.0,5500.0,80.0,120.0,100.0,40.8,100.0,98.5,26.52
Premium (>=60k),76,61499,97499.0,229900,87.9,89.0,12.0,512.0,4525.0,27.0,120.0,100.0,100.0,100.0,88.2,10.03
Upper-Mid (35k-60k),73,35359,42975.0,59999,86.5,87.0,12.0,256.0,5500.0,80.0,120.0,100.0,80.8,100.0,98.6,9.63
